distancia,reflexao
4.181849,50.839
4.18693,50.847
4.192012,50.844
4.197093,50.843
4.202174,50.84
4.207255,50.844
4.212336,50.839
4.217418,50.825
4.222499,50.829
4.22758,50.83
4.232661,50.83
4.237743,50.82
4.242824,50.837
4.247905,50.837
4.252986,50.831
4.258067,50.828
4.263149,50.836
4.26823,50.825
4.273311,50.831
4.278392,50.816
4.283474,50.82
4.288555,50.816
4.293636,50.814
4.298717,50.817
4.303798,50.812
4.30888,50.81
4.313961,50.8
4.319042,50.792
4.324123,50.801
4.329205,50.807
4.334286,50.813
4.339367,50.78
4.344448,50.788
4.34953,50.793
4.354611,50.802
4.359692,50.796
4.364773,50.783
4.369854,50.788
4.374936,50.789
4.380017,50.779
4.385098,50.772
4.390179,50.778
4.395261,50.773
4.400342,50.77
4.405423,50.766
4.410504,50.763
4.415585,50.76
4.420667,50.767
4.425748,50.763
4.430829,50.771
4.43591,50.77
4.440992,50.759
4.446073,50.756
4.451154,50.745
4.456235,50.745
4.461316,50.752
4.466398,50.751
4.471479,50.753
4.47656,50.747
4.481641,50.742
4.486723,50.747
4.491804,50.748
4.496885,50.745
4.501966,50.748
4.507048,50.755
4.512129,50.733
4.51721,50.746
4.522291,50.748
4.527372,50.739
4.532454,50.738
4.537535,50.732
4.542616,50.724
4.547697,50.728
4.552779,50.723
4.55786,50.724
4.562941,50.729
4.568022,50.716
4.573103,50.715
4.578185,50.718
4.583266,50.722
4.588347,50.714
4.593428,50.712
4.59851,50.718
4.603591,50.717
4.608672,50.721
4.613753,50.708
4.618834,50.721
4.623916,50.715
4.628997,50.695
4.634078,50.703
4.639159,50.711
4.644241,50.704
4.649322,50.708
4.654403,50.689
4.659484,50.702
4.664566,50.707
4.669647,50.696
4.674728,50.692
4.679809,50.685
4.68489,50.702
4.689972,50.694
4.695053,50.688
4.700134,50.679
4.705215,50.673
4.710297,50.673
4.715378,50.668
4.720459,50.658
4.72554,50.668
4.730621,50.663
4.735703,50.675
4.740784,50.668
4.745865,50.667
4.750946,50.651
4.756028,50.661
4.761109,50.654
4.76619,50.646
4.771271,50.645
4.776353,50.641
4.781434,50.641
4.786515,50.642
4.791596,50.647
4.796677,50.646
4.801759,50.65
4.80684,50.636
4.811921,50.626
4.817002,50.626
4.822084,50.625
4.827165,50.64
4.832246,50.638
4.837327,50.637
4.842408,50.627
4.84749,50.63
4.852571,50.616
4.857652,50.626
4.862733,50.625
4.867815,50.626
4.872896,50.616
4.877977,50.605
4.883058,50.625
4.888139,50.608
4.893221,50.604
4.898302,50.612
4.903383,50.612
4.908464,50.619
4.913546,50.597
4.918627,50.603
4.923708,50.596
4.928789,50.596
4.933871,50.599
4.938952,50.588
4.944033,50.586
4.949114,50.579
4.954195,50.587
4.959277,50.579
4.964358,50.585
4.969439,50.574
4.97452,50.572
4.979602,50.566
4.984683,50.561
4.989764,50.57
4.994845,50.57
4.999926,50.571
5.005008,50.58
5.010089,50.57
5.01517,50.572
5.020251,50.564
5.025333,50.562
5.030414,50.561
5.035495,50.553
5.040576,50.559
5.045657,50.57
5.050739,50.556
5.05582,50.566
5.060901,50.549
5.065982,50.563
5.071064,50.555
5.076145,50.546
5.081226,50.552
5.086307,50.54
5.091389,50.539
5.09647,50.539
5.101551,50.538
5.106632,50.542
5.111713,50.537
5.116795,50.535
5.121876,50.53
5.126957,50.533
5.132038,50.522
5.13712,50.516
5.142201,50.529
5.147282,50.531
5.152363,50.529
5.157444,50.508
5.162526,50.514
5.167607,50.511
5.172688,50.512
5.177769,50.515
5.182851,50.508
5.187932,50.519
5.193013,50.516
5.198094,50.517
5.203175,50.501
5.208257,50.502
5.213338,50.51
5.218419,50.506
5.2235,50.511
5.228582,50.486
5.233663,50.483
5.238744,50.494
5.243825,50.506
5.248907,50.499
5.253988,50.491
5.259069,50.501
5.26415,50.485
5.269231,50.486
5.274313,50.475
5.279394,50.48
5.284475,50.49
5.289556,50.475
5.294638,50.47
5.299719,50.477
5.3048,50.451
5.309881,50.462
5.314962,50.459
5.320044,50.445
5.325125,50.47
5.330206,50.462
5.335287,50.457
5.340369,50.456
5.34545,50.439
5.350531,50.444
5.355612,50.443
5.360694,50.445
5.365775,50.443
5.370856,50.436
5.375937,50.445
5.381018,50.435
5.3861,50.435
5.391181,50.426
5.396262,50.416
5.401343,50.439
5.406425,50.425
5.411506,50.415
5.416587,50.412
5.421668,50.423
5.426749,50.424
5.431831,50.414
5.436912,50.413
5.441993,50.409
5.447074,50.415
5.452156,50.408
5.457237,50.413
5.462318,50.411
5.467399,50.401
5.47248,50.414
5.477562,50.407
5.482643,50.396
5.487724,50.406
5.492805,50.408
5.497887,50.398
5.502968,50.395
5.508049,50.402
5.51313,50.396
5.518212,50.395
5.523293,50.395
5.528374,50.403
5.533455,50.389
5.538536,50.389
5.543618,50.387
5.548699,50.389
5.55378,50.383
5.558861,50.375
5.563943,50.378
5.569024,50.381
5.574105,50.368
5.579186,50.379
5.584267,50.361
5.589349,50.377
5.59443,50.374
5.599511,50.361
5.604592,50.369
5.609674,50.364
5.614755,50.356
5.619836,50.349
5.624917,50.358
5.629998,50.358
5.63508,50.359
5.640161,50.346
5.645242,50.351
5.650323,50.357
5.655405,50.341
5.660486,50.335
5.665567,50.339
5.670648,50.358
5.67573,50.351
5.680811,50.346
5.685892,50.339
5.690973,50.332
5.696054,50.342
5.701136,50.336
5.706217,50.335
5.711298,50.335
5.716379,50.319
5.721461,50.315
5.726542,50.328
5.731623,50.319
5.736704,50.318
5.741785,50.315
5.746867,50.322
5.751948,50.321
5.757029,50.31
5.76211,50.313
5.767192,50.31
5.772273,50.301
5.777354,50.304
5.782435,50.298
5.787516,50.312
5.792598,50.298
5.797679,50.306
5.80276,50.31
5.807841,50.307
5.812923,50.289
5.818004,50.282
5.823085,50.29
5.828166,50.3
5.833248,50.281
5.838329,50.271
5.84341,50.282
5.848491,50.295
5.853572,50.28
5.858654,50.294
5.863735,50.286
5.868816,50.29
5.873897,50.289
5.878979,50.275
5.88406,50.271
5.889141,50.261
5.894222,50.26
5.899303,50.256
5.904385,50.262
5.909466,50.258
5.914547,50.262
5.919628,50.255
5.92471,50.243
5.929791,50.25
